issue,resolution
Output too high. Beam --------,ion chamber
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL -------,gun pulse driver
Yield monitor error Beam YIELD -------,target
Underdose Beam UDRS -------,adjusted gun hv
GFIL Interlock Beam GFIL -------,hot deck
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL ----HD_AD+ --,lv ps ps2
GFIL Interlock Beam GFIL ----HD_AD+ --,filament ps
GFIL Interlock Beam GFIL ----HD_AD+ --,gun pulse driver
Underdose Beam UDRS1 UDRS2 ------,cold deck
Underdose Beam UDRS1 UDRS2 ------,gantry patch panel
Underdose Beam UDRS1 UDRS2 ------,cable
Underdose Beam UDRS1 UDRS2 ------,cable
Underdose Beam UDRS1 UDRS2 ------,cable
Underdose Beam UDRS1 UDRS2 ------,cable
Underdose Beam UDRS1 UDRS2 ------,cable
GFIL Interlock Beam GFIL ----HVPS+ FIL -,filament ps
GFIL Interlock Beam GFIL ----HVPS+ FIL -,gun pulse driver
Yield monitor error Beam YIELD -------,target
BGM Fault Beam BGM ----210005 --,AFC
GFIL Interlock Beam GFIL ----HD_AD+ --,hot deck
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL -------,hot deck
GFIL Interlock Beam GFIL -------,emergency off reset
GFIL and HVCB Faults Beam GFIL HVCB ------,hot deck
GFIL Interlock Beam GFIL -------,adjusted gun hv
GFIL Interlock Beam GFIL -------,emergency off reset
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL ----AD_Overcurrent --,hot deck
GFIL Interlock Beam GFIL ----AD_Overcurrent --,lv ps ps2
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL ----HD_AD+ HV_OFF EE_ROM ,hvps
GFIL Interlock Beam GFIL ----HD_TEMP HD_AD+ -,lv ps ps2
GFIL UDRS VAC 2 Beam GFIL UDRS VAC2 -----,tuned machine
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL ----HD_AD+ --,cold deck
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL ----HD_AD+ --,filament ps
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL -------,cold deck
MLC stuck leaf MLC MLC -------,mlc motor
MLC stuck leaf MLC MLC -------,mlc motor
MLC stuck leaf MLC MLC -------,leaf drive train
MLC stuck leaf MLC MLC -------,leaf drive train
MLC stuck leaf MLC MLC -------,leaf drive train
MLC Initialization Error MLC MLC INIT SFB -----,softpot
MLC Initialization Error MLC MLC INIT SFB -----,mlc motor
MLC Initialization Error MLC MLC INIT SFB -----,leaf drive train
MLC Initialization Error MLC MLC INIT SFB -----,leaf drive train
MLC Initialization Error MLC MLC INIT SFB -----,leaf drive train
MLC Initialization Error MLC MLC INIT ------,softpot
MLC Initialization Error and Leaf Stuck MLC MLC INIT ------,mlc motor
MLC Initialization Error MLC MLC INIT ------,mlc motor
MLC Initialization Error MLC MLC INIT ------,mlc motor
MLC Initialization Error MLC MLC INIT ------,leaf drive train
MLC Initialization Error MLC MLC INIT ------,clean mlc leaf
MLC losing connection treatment invalid MLC MLC ----Leaf_Stall --,mlc motor
MLC Leaf Stall MLC MLC ----Leaf_Stall --,mlc motor
MLC stuck leaf MLC MLC -------,mlc motor
MLC Leaf Error MLC MLC -------,mlc motor
MLC stuck leaf MLC MLC -------,mlc motor
MLC stuck leaf MLC MLC -------,softpot
MLC stuck leaf MLC MLC -------,leaf drive train
MLC Initialization Error MLC MLC INIT ------,softpot
MLC COL error MLC MLC COL ------,mlc motor
MLC COL error MLC MLC COL ------,softpot
MLC Leaf Stopping Intermittently MLC MLC SFB ------,softpot
MLC Leaf Stall MLC MLC ----Leaf_Stall --,clean mlc leaf
MLC Won't go to plan Leaf Failure MLC MLC -------,mlc motor
MLC Leaf Error MLC MLC -------,mlc motor
MLC Leaf Error MLC MLC -------,leaf drive train
MLC Leaf Error MLC MLC -------,clean mlc leaf
MLC Stuck Open MLC MLC -------,mlc motor
MLC Interlock MLC MLC -------,mlc motor
MLC Interlock MLC MLC -------,leaf drive train
MLC Initialization Error MLC MLC INIT ------,mlc motor
MLC stuck leaf MLC MLC -------,softpot
MLC stuck leaf MLC MLC -------,mlc motor
MLC stuck leaf MLC MLC -------,clean mlc leaf
MLC Secondary Feedback Error MLC MLC SFB ------,softpot
MLC Secondary Feedback Error MLC MLC SFB ------,clean mlc leaf
Underdose in morning Beam UDRS -------,rf driver
Underdose in morning Beam UDRS UDRS1 UDRS2 -----,emergency off reset
Underdose in Photons Beam UDRS -------,3 in 1 power supply
Underdose in 9e Beam UDRS -------,tuned machine
Underdose Beam UDRS -------,gun pulse driver
Underdose all energies Beam UDRS -------,tuned machine
Underdose Beam UDRS UDRS1 UDRS2 -----,cable
Underdose in Electrons Beam UDRS -------,gantry patch panel
Underdose in Electrons Beam UDRS -------,gantry wind up bundle
Underdose when gantry 180 degrees Beam UDRS -------,cable
Underdose when gantry 180 degrees Beam UDRS -------,gun pulse driver
Underdose in 15MV in morning Beam UDRS -------,tuned machine
Underdose Beam UDRS -------,cold deck
Underdose in 6MV and 6e Beam UDRS -------,cold deck
Underdose Beam UDRS -------,cable
Underdose Beam UDRS -------,AFC
Underdose in 8MV Beam UDRS -------,AFC
Underdose in 8MV Beam UDRS -------,AFC
Underdose Beam UDRS -------,thyratron
Undrdose in 6MV  Beam UDRS -------,pfn servo pcb
UDRS and HWFA faults Beam UDRS HWFA ------,thyratron grid control pcb
Underdose Beam UDRS -------,pwm pcb
Underdose Beam UDRS UDRS1 UDRS2 -----,gantry wind up bundle
Underdose when rotating gantry Beam UDRS -------,gantry patch panel
Underdose Beam UDRS EXQ2 ------,ion chamber
Underdose in Electrons Beam UDRS -------,AFC
Underdose in 6MV Beam UDRS UDRS1 UDRS2 -----,thyratron grid control pcb
Underdose Beam UDRS -------,pwm pcb
Underdose Beam UDRS -------,thyratron grid control pcb
UDRS with IMRT and Gantry rotation Beam UDRS -------,cable
UDRS with IMRT and Gantry rotation Beam UDRS -------,AFC
Underdose Beam UDRS UDRS1 UDRS2 -----,tuned machine
Underdose Beam UDRS -------,cold deck
Underdose in 6MV when rotating gantry Beam UDRS -------,cable
Underdose in 6MV when rotating gantry Beam UDRS -------,cable
Underdose in 6MV when rotating gantry Beam UDRS -------,cable
Underdose in 6MV when rotating gantry Beam UDRS -------,cable
Underdose in 6MV when rotating gantry Beam UDRS -------,cold deck
Underdose Beam UDRS -------,cable
Underdose Beam UDRS EXQ2 ------,ion chamber
Underdose Beam UDRS -------,gantry patch panel
Underdose Beam UDRS -------,cable
Underdose Beam UDRS -------,pwm pcb
Underdose Beam UDRS GFIL ------,hvps
Underdose in Photons Beam UDRS -------,3 in 1 power supply
Underdose Beam UDRS -------,rf driver
Underdose Beam UDRS UDRS1 UDRS2 -----,tuned machine
Underdose when gantry 180 degrees Beam UDRS UDRS1 UDRS2 -----,gantry wind up bundle
Underdose in 6MV Beam UDRS -------,thyratron
Underdose Beam UDRS UDRS1 UDRS2 -----,AFC
Underdose Beam UDRS -------,tuned machine
Underdose in Photons Beam UDRS -------,cable
Underdose in Photons Beam UDRS -------,gantry patch panel
Continuous flow fault Water FLOW -------,flow restrictor
Continuous flow fault Water FLOW -------,flow switch
FLOW interlock Water FLOW -------,flow switch
FLOW interlock Water FLOW -------,flow switch
Intermittent FLOW faults Water FLOW -------,cable
FLOW interlock Water FLOW -------,cable
Intermittent FLOW faults Water FLOW -------,flow restrictor
FLOW interlock Water FLOW -------,flow switch
BMAG interlock when rotating Beam BMAG -------,bmag power supply
BMAG interlock Beam BMAG -------,bmag power supply
BMAG interlock Beam BMAG -------,bmag power supply
BMAG and HVCB interlocks Beam BMAG HVCB ------,bmag power supply
BMAG interlock when rotating Beam BMAG -------,cable
BMAG interlock Beam BMAG -------,bmag power supply
BMAG and UDRS interlocks Beam BMAG UDRS ------,pfn servo pcb
